,work_ids,work_titles,authors,fandoms,iscrossover,ratings,warnings,genres,completions,dates,pairings,characters,freeforms,summaries,languages,wordcounts,chaptercounts,commentcounts,kudoscounts,bookmarks,hitcounts
5033,382272,Speak Now,Amethyst18,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,No category,Complete Work,2012/04/13,Pansy Parkinson/Harry Potter,"Pansy Parkinson, Harry Potter, Draco Malfoy, Ginny Weasley",Angst," Is it possible that some people are meant to fall in love with each other, but not meant to be together? Pansy Parkinson is about to find out ",English,"1,484",1/1,2,37,3,"1,381"
5034,382254,King of Serpents (The Scrapbook Remix),Delphi,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/04/13,,"Tom Riddle, Salazar Slytherin","Drama, Historical, Backstory, Childhood", Tom Riddle makes the acquaintance of a certain serpent who will change his life forever. ,English,"1,445",1/1,10,43,2,702
5035,382154,Rocks and Glass Houses,marguerite_26,Harry Potter - J. K. Rowling,0,Explicit,Rape/Non-Con,Multi,Complete Work,2012/04/13,"Teddy Lupin/Harry Potter, Scorpius Malfoy/Harry Potter",,"Mistaken Identity, Coercion, Dirty Talk, Revenge, Age Difference, NextGen DarkFest, Blackmail, Harry Potter Next Generation"," For someone living in a glass house, Teddy Lupin likes to play with rocks. ",English,"4,968",1/1,7,276,26,"9,050"
5036,382152,"Burn, Burn",marguerite_26,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/04/13,Draco Malfoy/Harry Potter,,"Light Bondage, Self-Harm, Disturbing Themes, Post-War, Hogwarts Eighth Year, HP: EWE"," The tireless dance of the flame, random and hypnotic, burned Draco’s retinas but he refused to look away. Closer, closer he reached until his palm hovered above the tiny flame. Three, two, then one inch away. ",English,"9,764",1/1,9,521,96,"5,934"
5037,12006687,A Jewel for Your Heart (Is Not a Fair Trade),orphan_account,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/04/13,"Harry Potter/Astoria Greengrass, Unrequited Draco Malfoy/Astoria Greengrass",,"Pureblood Culture, Aristocracy, Post-War, Canon Divergence - Post-Harry Potter and the Deathly Hallows, Fairy Tale Elements, Harry is Lord Potter, Ravenclaw Astoria Greengrass, Never Repost My Work Anywhere"," Miss Astoria Greengrass would rather bond with a Muggle-born than that filthy, cowardly Death Eater. She might even go as far as to say that she would rather bond with a Muggle. ",English,"2,639",1/1,40,"2,136",369,"32,409"
5038,400503,Extracarricular,Elfflame,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/04/13,Kingsley/Harry,"Kingsley Shacklebolt, Harry Potter","Community: daily_deviant, Bottom Harry, length: ficlet: 2k", Kingsley takes Harry under his wing. ,English,"2,289",1/1,8,628,98,"16,450"
5039,392636,In Which Severus Snape Throws a Tizzy,tigersilver,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/04/13,Sirius Black/Severus Snape,"Sirius Black, Severus Snape","Mpreg, Angst and Humor"," Severus Snape indulges in a brief fit of ‘mental’. What!? He’s a pregnant male war hero, up the duff by a damned Dog—he’s allowed! ",English,"13,714",2/2,15,249,38,"12,497"
5040,382235,The Gates of Istanbul,pagan,Harry Potter - J. K. Rowling,0,Mature,Choose Not To Use Archive Warnings,F/M,Complete Work,2012/04/13,Hermione Granger/Draco Malfoy,"Draco Malfoy, Hermione Granger","Action/Adventure, Death Eaters, Unresolved Sexual Tension, HP: EWE, Post-Hogwarts"," A Death Eater attack in Istanbul throws together two unlikely allies. As they unwillingly cooperate to reach safety, attraction and emotions flare up between them. ",English,"17,678",4/4,32,319,74,"7,160"
5041,381976,The Way to the Headmaster's Heart is Through His Hard Head,madeleone,Harry Potter - J. K. Rowling,0,Not Rated,No Archive Warnings Apply,F/M,Complete Work,2012/04/13,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape",, Can an accident bring together two people who have both wanted the same thing all along? Written as a bingo prize for christev for the LJ sshg_exchange bingo. ,English,"1,879",1/1,7,319,23,"3,985"
5042,381869,Cast Him Off One Day,shutupeccles,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/04/13,Neville Longbottom/Draco Malfoy,"Seamus Finnigan, Dean Thomas, Theodore Nott, Blaise Zabini, Draco Malfoy, Neville Longbottom, Minerva McGonagall, Horace Slughorn, Severus Snape, Narcissa Malfoy","Book 7: Harry Potter and the Deathly Hallows, Angst and Humor, Sexual Content, Boys from the House of Black are Moody Pricks"," Friends notice changes in the way Neville and Draco see each other, so start taking the piss. Some suggest using their attraction to glean information from the opposition. Others warn them to avoid getting involved at all, but temptation proves too much. An emotional alliance forms, only to be strangled by the lies woven to protect it. Will they ever know the truth? ",English,"28,313",1/1,5,108,13,"3,617"
5043,382134,Darkness Becomes You,Rena,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,2012/04/13,Bellatrix Lestrange/Fred Weasley,"Bellatrix Lestrange, Fred Weasley",Angst," Hold still, I'm trying to kill you. ",English,"3,623",1/1,0,9,1,336
5044,379136,Laws of Love,Milligan_girl_4_life,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",F/M,Complete Work,2012/04/13,Hermione Granger/Draco Malfoy,"Hermione Granger, Draco Malfoy","marriage law, dramione - Freeform, hermione - Freeform, draco - Freeform", The Ministry as passed a law that all pure bloods must marry those of muggle birth or that are half blood. Hermione has had a bad year as it is this had just added to her troubles. ,English,"2,343",2/2,10,123,13,"9,410"
5045,381822,Because Potter Is Allergic to Poppies,Lomonaaeren,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/04/13,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Original Characters","Healers, Mystery, Humor"," Auror Harry Potter is in hospital being treated for a curse when someone tries to kill him. Obviously it is up to bored, trapped Apprentice Healer Draco, who was only admitted to the Healer Program in the first place to do the menial work, to find out who did it. Because then they will promote him. No, it’s for no other reason, thanks. ",English,"41,118",6/6,107,"2,971",714,"45,337"
5046,381820,Endurance of Life,Lomonaaeren,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/04/13,"Draco Malfoy/Harry Potter, Harry Potter/Ginny Weasley","Harry Potter, Draco Malfoy, Ginny Weasley","Vampires, Non-Linear Narrative, Beltane"," Harry was hit with a curse that the Healers were helpless to stop. Now, on Beltane evening, Harry's ready to admit that Draco was right about the treatment for his condition all along. ",English,"14,644",1/1,20,396,63,"6,140"
