,work_ids,work_titles,authors,fandoms,iscrossover,ratings,warnings,genres,completions,dates,pairings,characters,freeforms,summaries,languages,wordcounts,chaptercounts,commentcounts,kudoscounts,bookmarks,hitcounts
0,549583,Father's Son,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,No category,Complete Work,2012/10/30,"Lily Evans/James Potter, Lily Evans & Severus Snape","Harry Potter, James Potter, Severus Snape, Lily Evans",, Harry Potter is just like his father...right? ,English,165,1/1,1,23,2,897
1,549579,Alphabetical Adjectives,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,2012/10/30,,,, Just what the title says. A-Z adjectives and the people that they fit. ,English,349,1/1,0,4,0,245
2,10097129,Of the Heath and Hay,HPFandom_archivist,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/10/30,Lucius Malfoy/Harry Potter,"Harry Potter, Lucius Malfoy","Explicit Language, BDSM, Slash sex, Out of Character, Sexual Content, Plot What Plot/Porn Without Plot"," Lucius/Harry. Post-Deathly Hallows. Dubious consent, slash, m/mMany Thanks to my Beta, Amanuensis. There is more written (some beta-ed already) which actually contains a plot involving Lucius and Harry (not ready to post it as of now). ",English,"2,172",1/1,0,40,5,"1,713"
3,549462,First Christmas,angelbabe_cj,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/10/29,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter",, Everyone knows what a stocking means at Christmas. Right? ,English,145,1/1,0,10,0,484
4,549445,Lead Me Home,Muir_Wolf,"Bones (TV), Harry Potter - J. K. Rowling",1,General Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/10/29,"Luna Lovegood/Vincent Nigel-Murray, Jack Hodgins/Angela Montenegro","Angela Montenegro, Luna Lovegood, Vincent Nigel-Murray, Jack Hodgins","Crossover, Crossover Pairings"," Sometimes, Angela sketches the three of them. ",English,565,1/1,2,59,3,"1,295"
5,549420,Has there ever been a girl so lucky?,orphan_account,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,F/F,Complete Work,2012/10/29,Pansy Parkinson/Rose Weasley,"Pansy Parkinson, Rose Weasley","Stockholm Syndrome, Alternate Universe - Voldemort Wins"," She cares for her mistress, just as her mistress cares for her. ",English,"2,026",1/1,2,71,6,"2,296"
6,549418,War Memorial,crossingwinter,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/10/29,,"Petunia Evans, Bathilda Bagshot, Lily Evans, Harry Potter","Grief/Mourning, Hurt/Comfort"," “It’s a transfigured muggle war memorial in the graveyard. It changes into them when we see it.”It was that, more than anything, that made her cry. ",English,570,1/1,12,85,10,"1,405"
7,549406,"Sherlock Holmes, Ravenclaw",Dragomira,"Harry Potter - Fandom, Sherlock (TV)",1,General Audiences,No Archive Warnings Apply,"Gen, M/M",Work in Progress,2012/10/29,Sherlock Holmes/John Watson,"Sherlock Holmes, Mycroft Holmes, John Watson, Poppy Pomfrey","Fluff, Hogwarts, Alternate Universe, Alternate Universe - Hogwarts, Hogwarts Era"," When Sherlock was sorted into Ravenclaw, the quiet response didn't carry the pride it had for his Slytherin brother. ",English,"2,047",1/?,10,149,15,"2,142"
8,549388,Red and Green,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,2012/10/29,"Lily Evans/James Potter, Harry Potter/Ginny Weasley","Harry Potter, Ginny Weasley, Lily Evans, James Potter, Voldemort",Warning- Can Be Confusing," Green and RedA poem about Green and Red that was a little outside the box for Crow, but he's working on it. He doesn't like it much, but some do, so it's getting posted. This is the relationship of Red and Green, Green and Red. ",English,153,1/1,0,5,0,251
9,549355,The Puffskein Plan,iulia_linnea,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/10/29,Harry Potter/Severus Snape,"Severus Snape, Harry Potter, Canon Character(s), Original Characters, Draco Malfoy",, Severus brews up trouble by employing puffskeins. ,English,"1,711",1/1,2,38,4,900
10,549344,Pride's First Fall,iulia_linnea,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,F/M,Complete Work,2012/10/29,"Bellatrix Black/Severus Snape, Ambiguous or Implied Pairing","Severus Snape, Bellatrix Black, Narcissa Black",," At fifteen, Severus knows something about Dark Magic, but he would prefer to know a certain dark-haired witch. ",English,"2,881",1/1,0,36,4,"1,248"
11,549320,A Potion-Soaked Vow,iulia_linnea,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/29,Ambiguous or Implied Pairing(s),"Ginny Weasley, Severus Snape, Harry Potter",, That the apple doesn't fall far from the tree is a beautiful thing under the right circumstances. ,English,"1,538",1/1,2,19,6,283
12,549312,To Meet Once Again,ResCVX,"Harry Potter - J. K. Rowling, Kuroshitsuji | Black Butler",1,Teen And Up Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Gen,Complete Work,2012/10/29,,"Harry Potter, Luna Lovegood, Ciel Phantomhive, Alois Trancy","One Shot, Crossover", What if Alois Trancy was reborn as Luna Lovegood? It's mainly different scenes from the fifth book. ,English,"2,586",1/1,6,183,25,"1,904"
13,549282,Not Quite The Same As The Boys In Blue,WhatWldMrsWeasleyDo,Harry Potter - J. K. Rowling,0,Explicit,Graphic Depictions Of Violence,M/M,Complete Work,2012/10/29,Dudley Dursley/Seamus Finnigan,"Dudley Dursley, Seamus Finnigan, Harry Potter, Mundungus Fletcher, Piers Polkiss",, ...'You're getting wizards mixed up with those super-heroes you lot've got splashed all over your comics and your picture houses. We do not exist in order to save your day.' Dudley has to find a reason why Seamus ought to protect him. ,English,"6,518",1/1,4,32,2,907
14,549277,Fire Dragon,ResCVX,"Harry Potter - J. K. Rowling, Bleach",1,Teen And Up Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Gen,Complete Work,2012/10/29,,"James Potter, Harry Potter","Two Shot, Family, Hurt/Comfort, Crossover"," James Evans, after finishing a simple mission for his captain, decides to take a walk and ends up in Privet Drive. ",English,"6,015",2/2,12,138,19,"1,857"
15,549220,Thy Pyrrhic Victories,MayMarlow,Harry Potter - J. K. Rowling,0,Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/10/29,Harry Potter/Tom Riddle,Harry Potter,"Alice In Wonderland adaptation, Slash, Complete, External Source, Don't copy to another site",  This is a Harry Potter / Alice in Wonderland adaptation. ,English,93,1/1,50,399,108,"13,433"
16,549210,The Dark Crow Smiles,ResCVX,"Harry Potter - J. K. Rowling, Kuroshitsuji | Black Butler",1,Teen And Up Audiences,Major Character Death,Gen,Complete Work,2012/10/29,,"Harry Potter, Voldemort, Sebastian Michaelis","One Shot, Crossover"," I'll end this war as Voldemort. In return, you shall give me what I want. Takes place towards the end of Deathly Hallows. ",English,"1,249",1/1,3,131,18,"2,085"
17,549199,Saviors in Time,ResCVX,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,"No Archive Warnings Apply, Choose Not To Use Archive Warnings",Gen,Work in Progress,2012/10/29,,"Harry Potter, Tom Riddle","Time Travel, POV Alternating, Family, Hurt/Comfort"," Harry wasn't a killer, yet it has been decided by fate that he will kill Voldemort. Knowing that his friends wouldn't understand, Harry starts longing for someone who would understand and take his burden away. ",English,"4,454",3/?,0,12,0,508
18,549187,try and hide the night,tosca1390,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/29,Harry Potter/Ginny Weasley,"James Sirius Potter, Albus Severus Potter, Lily Luna Potter, Ginny Weasley, Harry Potter",,  He wished someone would just tell him what was going on.  ,English,"6,490",1/1,11,500,118,"7,094"
19,549182,faith in a cape and a hood,tosca1390,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,"F/M, Gen",Complete Work,2012/10/29,Teddy Lupin/Lily Luna Potter,"Lily Luna Potter, Teddy Lupin, Harry Potter, Albus Severus Potter",,"  She dreams of fighting off wolves alone, and winning.  ",English,"2,100",1/1,4,110,15,"1,439"
20,549161,Let the Souls Wander,tosca1390,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,"F/M, Gen",Complete Work,2012/10/29,Hermione Granger/Ron Weasley,"Hermione Granger, Ron Weasley",,"  Words sputtered to the tip of her tongue. He would understand, whereas Harry might not.  ",English,"2,958",1/1,11,240,39,"2,957"
21,431934,From the Depths of Darkness,ForgottenJuliett,Harry Potter - Fandom,0,Mature,Choose Not To Use Archive Warnings,"F/M, M/M, Multi",Work in Progress,2012/10/29,"Harry Potter/Tom Riddle, Harry Potter/Lucius Malfoy, Harry Potter/Various, James Potter/Lily Evans, Sirius Black/Severus Snape","Harry Potter, Tom Riddle, Lucius Malfoy, Aberforth Dumbledore, Ariana Dumbledore, Gellert Grindelwald, Albus Dumbledore, Original Characters","Time-Travel!, Necromancy!, Slytherin!Harry, Eventual Dark!Harry", Harry ends up being thrown out of the Dursleys household. Because of a Death Eater he gets sent back in time. How does his relationship with his parents and the people around him progress with the war raging around them? Necromancer!Harry. Slash ,English,"30,038",4/?,26,543,154,"16,651"
22,549087,Beep,rightonthelimit,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/10/29,Harry Potter/Tom Riddle,"Harry Potter, Tom Riddle","Anal, Infidelity, married!Harry", They do this every morning Ginny leaves for work. ,English,"1,009",1/1,27,942,122,"26,257"
23,430207,Memories,Chrystel Malfoy-Potter (moon01234),"Criminal Minds, Harry Potter - J. K. Rowling",1,Mature,"Graphic Depictions Of Violence, Rape/Non-Con","F/M, M/M",Work in Progress,2012/10/29,Harry Potter/Derek Morgan,"Harry Potter, Spencer Reid, Derek Morgan, Draco Malfoy, Aaron Hotchner, David Rossi, Emily Prentiss, Jennifer ""JJ"" Jareau, Penelope Garcia, Teddy Lupin, Andromeda Black","Action/Adventure, Crime Fighting, Supernatural Elements, Magic"," TRANSLATION Harry has lived in Las Vegas during his childhood, neighbor and friend to Spencer Reid, but a magical accident forced him to move and the Ministry to erase his friend's memory. Twenty years later, Harry, having become an Auror at the Ministry of Magic of the USA, is assigned to the BAU and meets, once again, Spencer who has already started to remember a little boy with green eyes. ",English,"20,056",4/?,148,513,147,"9,280"
24,549044,Crossed,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Parent/Child Incest, One Shot, Plot What Plot/Porn Without Plot, Underage Sex", Draco helps Lucius with a crossword. ,English,"2,666",1/1,7,595,62,"31,561"
25,549040,Summer Rain,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Parent/Child Incest, One Shot, Plot What Plot/Porn Without Plot", Everything can happen in the summer rain. ,English,"1,466",1/1,0,157,9,"9,993"
26,549039,Butterfly Boy,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Parent/Child Incest, One Shot, Plot What Plot/Porn Without Plot", Draco loses one of Lucius' rings which he's mercifully been given permission to play with. ,English,"3,036",1/1,6,314,33,"14,814"
27,549038,Reclaimed,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Parent/Child Incest, One Shot, Plot What Plot/Porn Without Plot"," Draco's on the verge of getting married, and he's scared shitless. ",English,"1,580",1/1,0,170,9,"9,065"
28,549035,Untitled,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Parent/Child Incest, One Shot, Plot What Plot/Porn Without Plot", Draco is caught spying. ,English,"1,688",1/1,0,149,8,"11,950"
29,549033,Not My Son,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Parent/Child Incest, One Shot", Draco is desperately searching for his father on the battle field. ,English,"1,025",1/1,5,149,9,"5,404"
30,549031,Caught in a Whisper,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Parent/Child Incest, One Shot, Fluff and Angst, Plot What Plot/Porn Without Plot","  The sound of the heavy boots came closer, and a few moments later, Lucius Malfoy came out on the terrace. With his back toward the patio doors, Draco couldn't see his father's face, but he noted, with a small huff, the exhaustion in his voice.    A second later, Draco felt warm lips pressed against the side of his face and a soft murmur in his ear, “What are you sitting out here for, child?”  “You're late,” was all Draco offered as an answer. ",English,"3,371",1/1,1,229,27,"7,146"
31,549029,Happy Christmas!,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy, Narcissa Malfoy","Parent/Child Incest, Fluff, One Shot, Plot What Plot/Porn Without Plot", Draco has been a naughty boy. ,English,"1,687",1/1,0,215,21,"15,118"
32,549026,Seducing Your Father - A boy's guide to the art of seduction by Draco Malfoy,orphan_account,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Parent/Child Incest, Humor, One Shot, Plot What Plot/Porn Without Plot", Ever wanted to seduce your father? Draco Malfoy's got the know-how! ,English,"2,701",1/1,3,261,22,"14,614"
33,46816804,Snapshots,Treta_Aysel,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,F/F,Complete Work,2012/10/29,Molly Weasley II/Roxanne Weasley,"Molly Weasley II, Roxanne Weasley","Incest, Ficlet"," Molly and Roxanne have a nice, relaxing picnic. ",English,414,1/1,0,1,0,10
34,13968114,The Competition Arc,dracogotgame,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/10/29,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Minerva McGonagall, Sybill Trelawney, Blaise Zabini, Pansy Parkinson, Theodore Nott, Ron Weasley","Hogwarts Eighth Year, Competition, Humor, Fluff, First Kiss", Malfoys don't deal well with losing. ,English,"2,888",4/4,17,757,63,"6,121"
35,10467306,I love to hear you cry,piximera,Harry Potter - J. K. Rowling,0,Explicit,Rape/Non-Con,F/M,Complete Work,2012/10/29,Antonin Dolohov/Hermione Granger,"Hermione Granger, Antonin Dolohov, Tom Riddle | Voldemort, Death Eater(s)","Rituals, Humiliation, Edgeplay, Rape/Non-con Elements, Rape, Dark"," They’ve been waiting for months now, and it’s finally time. She will be used in an ancient ritual to enslave all Muggle Borns. ",English,"5,110",1/1,3,109,16,"10,121"
36,549575,Love of a God,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/29,,"Harry Potter, Hermione Granger, Ron Weasley, Cornelius Fudge, Albus Dumbledore, Voldemort",," The Gods favor children, idiots and the insane. ",English,89,1/1,0,14,1,245
37,548979,Devil's Darning Needle,orphan_account,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Underage,M/M,Complete Work,2012/10/29,Draco Malfoy/Lucius Malfoy,"Draco Malfoy, Lucius Malfoy","Implied Incest, One Shot","  He saw it from a distance first, a glint of sliver, buzzing wings reflecting the sunlight. It was zigzagging over the pond, and Draco pushed to his feet, chasing after it with a childish grin.  ",English,"1,135",1/1,0,49,4,"1,561"
38,548608,Life Is Short,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/29,,"Sybill Trelawney, Harry Potter",Minor Character Death," Life is short. Eat Dessert first. But what do you do when every method of seeing the future, every seer- including the fakes- and every book told him the same thing? He was already dead. He's been dead for a long time. He should be dead. What do you do then? ",English,101,1/1,0,9,0,199
39,548596,Flying Pigs,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/28,,"Harry Potter, Hermione Granger, Ron Weasley",Strange Hybrid Critters, Hermione lectures about Harry and Snape's inability to get along...and Harry contemplates what he saw out the window. ,English,233,1/1,0,8,0,169
40,533306,Trickster's Gambit,willowbeecat,"Harry Potter - J. K. Rowling, Supernatural, Stargate SG-1",1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Work in Progress,2012/10/28,Hermione Granger/Clone Jack O'Neill,"Hermione Granger, Clone Jack O'Neill, Sam Winchester, Dean Winchester, Cassandra Fraiser, Jo Harvelle",, Hermione accidentally activates something she really shouldn't have and finds herself in another world entirely. Gabriel uses a new player on the board to his advantage. ,English,"23,656",6/?,8,81,27,"2,827"
41,548589,Girl's Bathrooms and Gay Men,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/10/28,,"Harry Potter, Hermione Granger, Ron Weasley, Salazar Slytherin, Godric Gryffindor","Mentions of Slash, horrible innuendo, mentions of things you don't want to know"," Two things with nothing in common, Right? Well, Maybe. Ever wonder why the entrance to the Chamber of Secrets was in a girl's bathroom? Yeah? This probably isn't it, but it's something to consider and worry about. ",English,254,1/1,2,27,1,846
42,548577,"The First, but not the Last",LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/28,,"Harry Potter, Ron Weasley","Child Abuse, Bullying"," It was not the first time, or the last, that it had happened. It was the first, but not the last, time he had been found. Harry knew he couldn't let anyone know. ",English,309,1/1,2,59,2,"1,365"
43,548553,STOP FIGHTING!!!,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/10/28,Hermione Granger/Ron Weasley,"Harry Potter, Hermione Granger, Ron Weasley, Neville Longbottom",, He just wanted them to stop fighting...and they did...for a moment. ,English,257,1/1,0,18,1,463
44,548547,Past Revisited,ferporcel,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,2012/10/28,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape, Nathan Granger, Julia Granger-Snape","Community: hpcon_envy, Triple Drabble, Drama, Family Drama, Challenge Response", The past threatens the present and needs to be revisited. ,English,300,1/1,3,130,6,"3,188"
45,548388,Tidy Up,tzigane,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/10/28,Draco Malfoy/Severus Snape,"Draco Malfoy, Severus Snape","Community: kink_bingo, Authority Figures"," No matter how old he got, the reaction was always the same. Immediate and heart-pounding, faintly guilty, maybe, and a little bit worried that he'd done something for which he was about to get caught. ",English,"1,162",1/1,1,67,7,"1,670"
46,548347,Worth Dying Without,sein_Henker,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Major Character Death,Gen,Complete Work,2012/10/28,,"Regulus Black, Sirius Black","Family, Dysfunctional Family, Brothers"," Regulus couldn't cooperate with the Order of the Phoenix, for reasons that made perfect sense to him but which he would never make Sirius understand. ",English,"3,507",1/1,0,31,3,564
47,548276,Resurrection,stefanie_bean,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/10/28,,"Hermione Granger, Severus Snape","Angst, Complete, Challenge Response, Alternate Universe - Canon Divergence, One Shot"," Snape is dying, and Hermione is the only one who can bring him back. ",English,800,1/1,8,18,3,851
48,548215,Territory,orphan_account,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/10/28,Lily Evans/James Potter,"James Potter, Sirius Black, Lily Evans",Friendship," 'I could be your pet and you'd have to take care of me and I could lie on Lily's lap whenever I wanted and look under her skirts, and nobody would notice…' A late-night conversation between James and Sirius, featuring peeing for territory, girls and possibly becoming a pet. ",English,"1,565",1/1,0,14,1,564
49,548199,Paying for It,iulia_linnea,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,F/M,Complete Work,2012/10/28,Madam Rosmerta/Severus Snape,"Severus Snape, Madam Rosmerta, Aberforth Dumbledore, Original Characters, Albus Dumbledore",," Over the years, Severus finds that the comfort afforded by Rosmerta's lips is worth paying for. ",English,"2,509",1/1,2,21,3,461
50,548188,One for the Pensieve,iulia_linnea,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,F/M,Complete Work,2012/10/28,Luna Lovegood/Draco Malfoy,"Luna Lovegood, Draco Malfoy",," Seeking to atone, Draco finds Luna and discovers more than he imagined possible. ",English,"3,056",1/1,10,141,16,"2,973"
51,548176,Once Upon an Unspeakable Spin,iulia_linnea,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/28,,"Hermione Granger, Severus Snape, Canon Character(s)",Community: hogwarts_houses, Things spin out of control for Hermione and Severus on the edge of Hogwarts' grounds. ,English,"1,816",1/1,0,3,2,242
52,24500221,Future Starts Slow,AuroraWest,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/10/28,"George Weasley & Ron Weasley, Harry Potter & George Weasley, Hermione Granger & George Weasley, Hermione Granger/Ron Weasley, Hermione Granger & Harry Potter & Ron Weasley","Ron Weasley, George Weasley, Hermione Granger, Harry Potter","Fluff, Family Fluff, ron weasley is a good bro, Brothers, Little Brothers, The Golden Trio, Post-Harry Potter and the Deathly Hallows, Post-Canon"," The idea of George not celebrating his twenty-first birthday at all is intolerably depressing. Ron, Hermione, and Harry see to it that it doesn't happen. ",English,"4,152",1/1,2,73,11,629
53,10035227,Halloween Party,Echo_Greenshield,Harry Potter - J. K. Rowling,0,Mature,Choose Not To Use Archive Warnings,"M/M, Gen",Complete Work,2012/10/28,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Explicit Language, Out of Character, Alternate Universe, Crossover, Humor, Parody, Romance", Harry and Draco get ready for a Halloween party. ,English,846,1/1,0,2,0,151
54,548717,Of Beach Houses and Islands,olimakiella,Harry Potter - J. K. Rowling,0,Mature,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",M/M,Complete Work,2012/10/28,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Original Characters, Narcissa Malfoy","Time Travel, Birthday, Gift Fic, awesome birthday presents are awesome, Fluff", Sequel to Of Bookstores and Stalkers. It's a year later and it's Draco's birthday. Join Draco on his 'Day of Joy' *snort* ,English,"2,873",1/1,8,293,30,"3,537"
55,548401,A Pleasant Interlude of Marital Surprises Following the Decadent Offering of Lavender Knickers,iulia_linnea,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,F/M,Complete Work,2012/10/28,Luna Lovegood/Severus Snape,"Luna Lovegood, Severus Snape",," Severus surprises Luna, and she makes the most of it. ",English,"1,856",1/1,2,58,10,"1,808"
56,548270,Sultry Snape,MechanicalRain,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,2012/10/28,,Severus Snape,"Partial Nudity, Fanart"," A pencil drawing of Severus Snape based on a dream I had. I had no reference pic for the body, so it does look slightly off. ",English,0,1/1,3,27,1,973
57,548242,Softening Mood,tzigane,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/10/28,Draco Malfoy/Severus Snape,"Draco Malfoy, Severus Snape","Community: kink_bingo, Animal Transformation"," All to the good. He liked being petted, regardless of the circumstances. He liked being petted by Severus, liked the way his long, stained fingers lingered reverently against his skin, liked the added side to side motion that touch took on when he had ears and a tail. ",English,"1,400",1/1,0,62,7,"1,890"
58,548205,Playing at Love,iulia_linnea,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,F/M,Complete Work,2012/10/28,Harry Potter/Severus Snape,"Harry Potter, Severus Snape, Canon Character(s)",, Harry wants to know why he's staring. ,English,"5,067",1/1,8,62,10,"2,735"
59,548171,Only In Photographs,littlechinesedoll,Harry Potter - J. K. Rowling,0,Not Rated,"Choose Not To Use Archive Warnings, Major Character Death",M/M,Complete Work,2012/10/28,Cedric Diggory/Harry Potter,"Harry Potter, Cedric Diggory, Ron Weasley, Hermione Granger, Molly Weasley","canon character death, Depressed Harry", Harry still hasn't come to terms with Cedric's death. ,English,"6,086",1/1,14,158,25,"2,593"
60,547966,Loony Lovegood,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,2012/10/28,Mentions of Harry Potter/Luna Lovegood,"Harry Potter, Luna Lovegood",," I am the only one to see what Luna sees. But I'm not the only one to know that it exists. Harry knows, and he understands. He may not know it all, but he understands enough to know what to ask when he doesn't get it. And Luna knows enough to teach me too. So...it's a good thing Harry knows it's true, or no one would ever believe her. ",English,305,1/1,0,8,0,367
61,547942,The Wind,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Major Character Death,Gen,Complete Work,2012/10/28,,Harry Potter,, Harry was always listening...just not to the people around him. But he listened and believed. ,English,259,1/1,1,12,0,172
62,547910,All Things Must Come To An End,LABrats,Harry Potter - J. K. Rowling,0,Not Rated,Major Character Death,Gen,Complete Work,2012/10/28,Mentions of Ron/Hermione,Harry Potter,End of Life Fic," All things must come to an end. Just because they started at the same time, doesn't mean they end then. A long time ago, they were together...Now, it's time for the last of them to come to an end. Character death and mentions of Ron and Hermione that are so slight that I'm still not sure wether or not they actually need to be noted. ",English,299,1/1,0,5,0,131
63,547904,Hogwarts Records,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/10/28,,,," Now, if you ask when or how it started, no one could say. But somewhere along the line, someone started keeping track or records both common and uncommon. ",English,"1,462",1/1,1,12,1,183
64,547890,The Prankster,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Gen,Complete Work,2012/10/28,,Harry Potter,," There is a new prankster at Hogwarts, who doesn't seem to play by any of the rules people want him to. ",English,753,1/1,0,26,0,218
65,547883,Outsmarted,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/28,,"Harry Potter, Voldemort",," In a surprisingly successful move, Voldemort captured, tortured and killed a group of Harry Potter's friends. ...Right? ",English,255,1/1,1,13,0,326
66,547881,101 ways to kill Voldemort,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,2012/10/28,,"Harry Potter, Voldemort, Severus Snape",Warning for Bad Jokes, Harry spend a while working on a list of ways to Kill Voldemort...wanna see? ,English,"1,921",1/1,3,51,6,924
67,547819,Only a Malfoy,Ramblingnic,Harry Potter - J. K. Rowling,0,Explicit,"Choose Not To Use Archive Warnings, Rape/Non-Con, Underage",Multi,Complete Work,2012/10/28,Draco Malfoy/Lucius Malfoy/Narcissa Malfoy,"Draco Malfoy, Narcissa Malfoy, Lucius Malfoy","Draco is 17, mentions of Draco at 15, Incest, Dubious Consent, Vaginal Sex, Anal Sex, Dirty Talk, Daddy Kink", Lucius has always taught his son that only a Malfoy is good enough for a Malfoy. Narcissa doesn't quite agree. ,English,"3,175",1/1,1,136,12,"18,111"
